Photo Link,Listing ID,Address,Price,Number of Beds,Number of Baths,Size (sqft)
https://images.century21.ca/Listings/MLS/114/18471711/F638E23C9F02E27E3A170FEDA852AFA9.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: C8013887,"2600 E 49TH AVENUE,Vancouver BC V5S1J8","$59,000,000",N/A,N/A,N/A
https://images.century21.ca/Listings/MLS/114/19076103/979493F6B675AC54A778784FE533EC42.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2238859,"3138 W 51ST AVENUE,Vancouver BC V6N4H4","$19,800,000",6 beds,8 baths,"8,809 living area"
https://images.century21.ca/Listings/MLS/114/19175081/92D15657A8774CD6C7C46C62017F02B4.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2246801,"4777 W 2ND AVENUE,Vancouver BC V6T1C1","$18,880,000",6 beds,5 baths,"8,218 living area"
https://images.century21.ca/Listings/MLS/114/18805624/58E96FE07F2155E84C49D3234F0607A3.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2218664,"3426 OSLER STREET,Vancouver BC V6H2W3","$17,890,000",6 beds,7 baths,"8,001 living area"
https://images.century21.ca/Listings/MLS/114/19323783/DDA3260C1D0D1CB60D50EAD4E6ED181C.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2259068,"3689 ANGUS DRIVE,Vancouver BC V6J4H6","$16,988,000",6 beds,7 baths,"10,080 living area"
https://images.century21.ca/Listings/MLS/114/18750002/B1851A1F5048E744F87F2650A96FA2CC.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2214041,"1138 MATTHEWS AVENUE,Vancouver BC V6H1W4","$16,980,000",5 beds,5 baths,"6,089 living area"
https://images.century21.ca/Listings/MLS/114/19095071/6E9A67B4BD73422091850D04B256FD15.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2240268,"1450 ANGUS DRIVE,Vancouver BC V6H1V3","$16,800,000",7 beds,6 baths,"6,917 living area"
https://images.century21.ca/Listings/404.jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2257559,"7807 CAMBIE STREET,Vancouver BC V6P3J1","$15,680,000",7 beds,4 baths,"4,854 living area"
https://images.century21.ca/Listings/MLS/114/18965202/09AD4F8DE45D6D8E172D616DD2271387.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2229644,"6420 MACDONALD STREET,Vancouver BC V6N1E6","$13,980,000",5 beds,8 baths,"7,388 living area"
https://images.century21.ca/Listings/MLS/114/19083120/AFE091DB3E3111A848381138E1624600.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: C8017216,"4850 MACKENZIE STREET,Vancouver BC V6L2R6","$12,888,000",N/A,N/A,N/A
https://images.century21.ca/Listings/MLS/114/19052472/73F92B04AF9B31C067DB09C951124916.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: C8017043,"7843 CAMBIE STREET,Vancouver BC V6P3J1","$12,000,000",N/A,N/A,N/A
https://images.century21.ca/Listings/MLS/114/19052119/73F92B04AF9B31C067DB09C951124916.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2236297,"7843 CAMBIE STREET,Vancouver BC V6P3J1","$12,000,000",7 beds,4 baths,"4,854 living area"
https://images.century21.ca/Listings/MLS/114/17746087/E1317DC9BCA00F68B275E6A1455D4732.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2133904,"1384 W 32ND AVENUE,Vancouver BC V6H2J3","$11,980,000",3 beds,3 baths,"4,046 living area"
https://images.century21.ca/Listings/MLS/114/18339643/3CB955BA592BA1E9B8CBDC45A25DDD3B.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2181451,"2301 277 THURLOW STREET,Vancouver BC V6C0C1","$11,880,000",2 beds,3 baths,"2,500 living area"
https://images.century21.ca/Listings/MLS/114/19256625/D72A56B505A1D72045C6AF038DC30801.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: C8018165,"813 E BROADWAY,Vancouver BC V5T1Y2","$11,700,000",N/A,N/A,N/A
https://images.century21.ca/Listings/MLS/114/19090481/FDDDA0D28973BF38F78F3D64425408E9.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2240039,"7038 CHURCHILL STREET,Vancouver BC V6P5B6","$10,998,000",8 beds,7 baths,"7,266 living area"
https://images.century21.ca/Listings/MLS/114/19300125/5D2B1124FA1A87077107BAD9B1F730F1.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2256966,"7112 WILTSHIRE STREET,Vancouver BC V6P5H5","$10,600,000",6 beds,8 baths,"6,013 living area"
https://images.century21.ca/Listings/MLS/114/19308566/D922B32278806F211E00F8591F703D03.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2257807,"3234 W 21ST AVENUE,Vancouver BC V6L1L2","$9,998,000",6 beds,7 baths,"3,850 living area"
https://images.century21.ca/Listings/MLS/114/19219224/4A86D2ED8AAB0E2F102213E2D790EFD9.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2250440,"4524 W 1ST AVENUE,Vancouver BC V6R1H8","$9,998,000",5 beds,5 baths,"4,572 living area"
https://images.century21.ca/Listings/MLS/114/19066425/66EBD06E5707F973FB3618211A844B70.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2237758,"1428 W KING EDWARD AVENUE,Vancouver BC V6H2A2","$9,980,000",6 beds,6 baths,"6,167 living area"
https://images.century21.ca/Listings/MLS/114/18172907/0B2FEA1C4FD5DDDB26AF6A621587276D.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2166341,"3319 POINT GREY ROAD,Vancouver BC V6R1A4","$9,880,000",3 beds,4 baths,"2,696 living area"
https://images.century21.ca/Listings/MLS/114/19095085/9FD943FF813CFB73FC0A6EC7C86FEC3C.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2240315,"1235 W 39TH AVENUE,Vancouver BC V6M1S9","$9,380,000",6 beds,8 baths,"5,766 living area"
https://images.century21.ca/Listings/MLS/114/19155156/11F4A9F215FF13D070CEF83F0C311ECF.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: C8017652,"2366 GALT STREET,Vancouver BC V5N2Z9","$9,188,000",N/A,N/A,"12,422 living area"
https://images.century21.ca/Listings/MLS/114/19159968/11F4A9F215FF13D070CEF83F0C311ECF.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2245445,"4715 NANAIMO STREET,Vancouver BC V5N5J9","$9,188,000",9 beds,2 baths,"2,216 living area"
https://images.century21.ca/Listings/MLS/114/19286437/BEFAAE84127541001193EDB223D89622.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2255640,"797 KEEFER STREET,Vancouver BC V6A1Y6","$8,999,000",3 beds,3 baths,"2,190 living area"
https://images.century21.ca/Listings/MLS/114/19281565/BEFAAE84127541001193EDB223D89622.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: C8018298,"797 KEEFER STREET,Vancouver BC V6A1Y6","$8,999,000",N/A,N/A,N/A
https://images.century21.ca/Listings/MLS/114/18986824/624A82B9675A74D40122B876BA6A0691.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2231334,"2111 W 34TH AVENUE,Vancouver BC V6M1G3","$8,998,000",8 beds,8 baths,"5,993 living area"
https://images.century21.ca/Listings/MLS/114/19240448/7E711A501A02955ADB7C6314916A4E52.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2252028,"6061 CHURCHILL STREET,Vancouver BC V6M3H4","$8,880,000",6 beds,4 baths,"5,136 living area"
https://images.century21.ca/Listings/MLS/114/18141149/22A3ADED6276FF329274DCB0AFE92332.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2164127,"4680 W 4TH AVENUE,Vancouver BC V6R1R5","$8,880,000",7 beds,5 baths,"4,828 living area"
https://images.century21.ca/Listings/MLS/114/19327041/F7618B73B28D035A47814DAC7019B28D.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2259598,"4554 LANGARA AVENUE,Vancouver BC V6R1C8","$8,800,000",2 beds,1 bath,"2,871 living area"
https://images.century21.ca/Listings/MLS/114/18883041/C44DA15F54CE04DD8DC7809F4E4A12F2.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2223859,"4608 LANGARA AVENUE,Vancouver BC V6R1E1","$8,688,000",3 beds,2 baths,"2,700 living area"
https://images.century21.ca/Listings/MLS/114/19110713/0B999E2EAD9A6C70AE3409CACAEA8AE7.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2241796,"7187 CYPRESS STREET,Vancouver BC V6P5M2","$8,680,000",6 beds,8 baths,"5,354 living area"
https://images.century21.ca/Listings/MLS/114/19268315/569DC329A364F342E8973A9FFFF5BB80.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2254212,"6823 ADERA STREET,Vancouver BC V6P5C2","$8,590,000",6 beds,8 baths,"5,782 living area"
https://images.century21.ca/Listings/MLS/114/18980115/A09FAA26340759A1B53E3B66F725BC1A.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2230590,"5985 ANGUS DRIVE,Vancouver BC V6M3N9","$8,380,000",7 beds,8 baths,"5,344 living area"
https://images.century21.ca/Listings/MLS/114/19074102/1FFEB414952C583F225C0C4F92347007.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2238364,"4177 DONCASTER WAY,Vancouver BC V6S1W1","$8,360,000",5 beds,7 baths,"5,193 living area"
https://images.century21.ca/Listings/MLS/114/19090468/5808971BC994727A3A478AD073FF8756.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2239998,"5937 ADERA STREET,Vancouver BC V6M3J3","$8,280,000",4 beds,5 baths,"5,467 living area"
https://images.century21.ca/Listings/MLS/114/19006736/EA23698DFB6BB9070240F66BB09D4FB3.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2232744,"2318 SW MARINE DRIVE,Vancouver BC V6P6C2","$8,200,000",5 beds,6 baths,"6,774 living area"
https://images.century21.ca/Listings/MLS/114/19075964/2914C290F8C670BA5ED4FDB9B1F8DFF1.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2238718,"302 426 BEACH CRESCENT,Vancouver BC V6Z3E9","$8,200,000",3 beds,3 baths,"2,812 living area"
https://images.century21.ca/Listings/MLS/114/19211305/D58339FC5F16CE6E0FB7E99E956C59DF.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2249535,"3333 CLIVE AVENUE,Vancouver BC V5R4V4","$8,000,000",N/A,N/A,N/A
https://images.century21.ca/Listings/MLS/114/18081241/B9E4A3CBC5B8F91989503B6630D8495D.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: C8012052,"919 GRANVILLE STREET,Vancouver BC V6Z1L3","$8,000,000",N/A,N/A,"4,355 living area"
https://images.century21.ca/Listings/MLS/114/19019600/19D03AEAEB7DF2CFA077E05638F2E414.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2233679,"5037 MAPLE STREET,Vancouver BC V6M4J8","$7,998,888",4 beds,4 baths,"3,476 living area"
https://images.century21.ca/Listings/MLS/114/19017521/67094B283AEDBD9FC79842159DE9173D.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: C8016759,"1722 DAVIE STREET,Vancouver BC V6G1W2","$7,990,000",N/A,N/A,"4,850 living area"
https://images.century21.ca/Listings/MLS/114/19237089/7077E8AF964323B9DD17034615EDF783.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2251359,"5790 ADERA STREET,Vancouver BC V6M3J2","$7,980,000",5 beds,7 baths,"7,483 living area"
https://images.century21.ca/Listings/MLS/114/19211450/D26D40BD0EC9E614B19E894874293D2D.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2249570,"1020 WOLFE AVENUE,Vancouver BC V6H1V7","$7,980,000",6 beds,4 baths,"6,555 living area"
https://images.century21.ca/Listings/MLS/114/19180183/29D8E910129F1F11D1EA68411E734EB0.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2247151,"7066 CYPRESS STREET,Vancouver BC V6P5M3","$7,890,000",6 beds,6 baths,"5,425 living area"
https://images.century21.ca/Listings/MLS/114/18973181/ADE61C71141E689BC1AF4A828A2D491F.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2230220,"1203 W 38TH AVENUE,Vancouver BC V6M1R2","$7,890,000",6 beds,8 baths,"6,029 living area"
https://images.century21.ca/Listings/MLS/114/19167427/3340864F6788ACDB72FF6EFFCF0C0CCF.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2246137,"3825 W 39TH AVENUE,Vancouver BC V6N3A8","$7,890,000",6 beds,6 baths,"4,925 living area"
https://images.century21.ca/Listings/MLS/114/18986821/B51C9AA5B4E2107FF64E27AD3C0B530F.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2231323,"5538 WILLOW STREET,Vancouver BC V5Z3S4","$7,888,000",6 beds,4 baths,"3,400 living area"
https://images.century21.ca/Listings/MLS/114/18986807/1A164DCF7BF0786F85ACB1AA55BEC47A.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2231289,"5512 WILLOW STREET,Vancouver BC V5Z3S4","$7,888,000",6 beds,4 baths,"3,400 living area"
https://images.century21.ca/Listings/MLS/114/19191691/86C67CF9BC736D1CDD2FE96B5FAE7801.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2248172,"6463 BALSAM PLACE,Vancouver BC V6M4L9","$7,880,000",6 beds,7 baths,"6,135 living area"
https://images.century21.ca/Listings/MLS/114/18965191/60B4CCF0DF9F6DEAEBFF035DE23CB655.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2229617,"5361 CYPRESS STREET,Vancouver BC V6M3R3","$7,777,777",6 beds,6 baths,"4,622 living area"
https://images.century21.ca/Listings/MLS/114/19052469/D6D6CCBABBFFC2020AA170D4DC859461.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: C8017040,"117 E 15TH AVENUE,Vancouver BC V5T2P6","$7,688,000",N/A,N/A,"6,534 living area"
https://images.century21.ca/Listings/MLS/114/19313907/ACBA3FD41E8DCF48BA27694D052B5BDD.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2258234,"1657 W KING EDWARD AVENUE,Vancouver BC V6J2V8","$7,688,000",5 beds,6 baths,"5,775 living area"
https://images.century21.ca/Listings/MLS/114/19184784/B151CDE8BBFF7627CBEA9F1F9C3CDEC2.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2247807,"1188 W 57TH AVENUE,Vancouver BC V6P1S5","$7,680,000",4 beds,4 baths,"3,240 living area"
https://images.century21.ca/Listings/MLS/114/19256480/2608B56ABAF4A33C7728DB1F8ED4B4E3.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2252485,"3815 W 39TH AVENUE,Vancouver BC V6N3A8","$7,680,000",6 beds,6 baths,"4,917 living area"
https://images.century21.ca/Listings/MLS/114/19070216/E4EEC7229AF362053CF1A34B511B3920.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2238165,"3885 W BROADWAY,Vancouver BC V6R2C2","$7,668,000",5 beds,4 baths,"4,189 living area"
https://images.century21.ca/Listings/MLS/114/19094971/17B6170C444B2455338837D885950821.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2240353,"4601 1372 SEYMOUR STREET,Vancouver BC V6B0L1","$7,588,000",2 beds,4 baths,"3,088 living area"
https://images.century21.ca/Listings/MLS/114/19211480/51AB5DD61188B63718128018B81F505B.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2249760,"6238 WILTSHIRE STREET,Vancouver BC V6M3M2","$7,580,000",6 beds,7 baths,"6,127 living area"
https://images.century21.ca/Listings/MLS/52/R2239807/F189888D432AF8860F60297906835DA9.Jpg?width=400&height=300&imagecount=22&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,Property ID: 101299909,"1611 CEDAR CRESCENT,Vancouver BC V6J 2P8","$7,500,000",7 beds,5 baths,"5,318 living area"
https://images.century21.ca/Listings/MLS/114/18801274/E85522E0F60C2801FEF02172469C7B8C.Jpg?width=400&height=300&listingstatus=AVAI&scale=both&mode=crop&lang=en-CA&quality=70,ID: R2218225,"3818 CYPRESS STREET,Vancouver BC V6J3P3","$7,390,000",4 beds,5 baths,"3,523 living area"
